document-count,cited-by-count,citations-count,h-index,coauthor-count,surname,given-name,faculty,department,gender,affiliation-name
20,18,19,3,29,Nizamani,Zafarullah,FEGT,DEV,male,Universiti Tunku Abdul Rahman
62,462,496,13,56,Nakayama,Akihiko,FEGT,DEV,male,Universiti Tunku Abdul Rahman
20,67,75,5,27,Jaya Prakash,Joshua,FEGT,DIE,male,Universiti Tunku Abdul Rahman
2,42,42,1,2,Khoo,Sze Wei,FEGT,DIE,male,Universiti Tunku Abdul Rahman
8,11,12,3,8,Ng,Soo Ai,FEGT,DIE,female,Universiti Tunku Abdul Rahman
49,645,757,14,49,Ong,Kok Seng,FEGT,DIE,male,Universiti Tunku Abdul Rahman
25,119,178,7,20,Tan,Ming Hui,FEGT,DIE,male,Universiti Tunku Abdul Rahman
3,20,20,2,8,Tshai @ Chai,Kim Hoe,FEGT,DIE,male,Universiti Tunku Abdul Rahman
11,87,91,5,35,Chng,Lee Muei,FEGT,DPCE,female,Universiti Tunku Abdul Rahman
3,4,4,1,6,Kanadasan,Gobi,FEGT,DPCE,male,Universiti Tunku Abdul Rahman
8,48,51,2,17,Leong,Siew Yoong,FEGT,DPCE,male,Universiti Tunku Abdul Rahman
19,77,93,5,43,Lo,Po Kim,FEGT,DPCE,female,Universiti Tunku Abdul Rahman
6,189,189,2,15,Low,Chong Yu,FEGT,DPCE,male,Universiti Tunku Abdul Rahman
5,7,8,2,8,Muniyadi,Mathialagan,FEGT,DPCE,male,Universiti Tunku Abdul Rahman
16,373,392,9,18,Ong,Yit Thai,FEGT,DPCE,male,Universiti Tunku Abdul Rahman
76,1371,1819,23,42,Sin,Jin Chung,FEGT,DPCE,male,Universiti Tunku Abdul Rahman
31,1782,2159,20,19,Tan,Kok Tat,FEGT,DPCE,male,Universiti Tunku Abdul Rahman
13,223,341,7,21,Toh,Peh Yi,FEGT,DPCE,female,Universiti Tunku Abdul Rahman
29,187,208,8,30,Munisamy,Yamuna,FEGT,DPCE,female,Universiti Tunku Abdul Rahman
16,149,175,8,12,Yeoh,Wei Ming,FEGT,DPCE,male,Universiti Tunku Abdul Rahman
3,6,6,2,22,Te,Kian Keong,FMHS,DCM,male,Universiti Tunku Abdul Rahman
156,1216,1324,20,312,Cheong,Soon Keng,FMHS,DOM,male,Universiti Tunku Abdul Rahman
32,144,153,9,21,Yap,Felix Boon Bin,FMHS,DOM,male,Universiti Tunku Abdul Rahman
3,1,1,1,20,Lau,Kar Foo,FMHS,DOM,male,Universiti Tunku Abdul Rahman
2,0,0,0,9,Choo,Peak Yean,FMHS,DON,female,Universiti Tunku Abdul Rahman
2,0,0,0,9,Liew,Siew Fun,FMHS,DON,female,Universiti Tunku Abdul Rahman
2,0,0,0,9,Woo,Li Fong,FMHS,DON,female,Universiti Tunku Abdul Rahman
3,60,60,2,8,Ali Mir,Imtiyaz,FMHS,DOP,male,Universiti Tunku Abdul Rahman
4,10,10,1,6,Majeed Kutty,Nizar Abdul,FMHS,DOP,male,Universiti Tunku Abdul Rahman
9,7,7,2,18,Padmanathan,Vinothini,FMHS,DOP,female,Universiti Tunku Abdul Rahman
146,1904,2904,25,422,Boo @ Mooi,Nem Yun @ Nam Ying,FMHS,DOPM,male,Universiti Tunku Abdul Rahman
8,20,20,2,25,Abdulrazzaq Jabbar,Mohammed,FMHS,DOPM,male,Universiti Tunku Abdul Rahman
6,4,4,1,24,Abed Abed,Naghem Farouk,FMHS,DOPM,female,Universiti Tunku Abdul Rahman
15,73,77,6,45,Masilamani,Retneswari,FMHS,DOPM,female,Universiti Tunku Abdul Rahman
7,130,133,6,12,Chen,Robert,FMHS,DOPM,male,Universiti Tunku Abdul Rahman
7,31,33,3,25,Yeoh,Seen Heng,FMHS,DOPM,male,Universiti Tunku Abdul Rahman
30,255,284,9,101,Ong,Alan Han Kiat,FMHS,DPCS,male,Universiti Tunku Abdul Rahman
32,529,549,13,131,Chin,Kin Fah,FMHS,DPCS,male,Universiti Tunku Abdul Rahman
39,768,870,15,90,Choo,Kong Bung,FMHS,DPCS,male,Universiti Tunku Abdul Rahman
11,63,71,5,30,Fong,Lai Yen,FMHS,DPCS,female,Universiti Tunku Abdul Rahman
6,9,10,2,37,Gan,Quan Fu,FMHS,DPCS,male,Universiti Tunku Abdul Rahman
8,15,15,2,23,Deva @ Ng,Jenny Parameshvara @ Gek Pheng,FMHS,DPCS,female,Universiti Tunku Abdul Rahman
9,22,22,3,35,Gan,Seng Chiew,FMHS,DPCS,male,Universiti Tunku Abdul Rahman
11,95,95,5,43,Leong,Pooi Pooi,FMHS,DPCS,female,Universiti Tunku Abdul Rahman
43,415,516,13,83,Lim,Yang Mooi,FMHS,DPCS,female,Universiti Tunku Abdul Rahman
2,0,0,0,9,Mohamad Hatta,Nadia,FMHS,DPCS,female,Universiti Tunku Abdul Rahman
2,85,94,2,4,Sin,Shwe,FMHS,DPCS,female,Universiti Tunku Abdul Rahman
5,23,23,2,14,Singh,Simerjit,FMHS,DPCS,male,Universiti Tunku Abdul Rahman
7,47,49,4,16,Teoh,Hoon Koon,FMHS,DPCS,female,Universiti Tunku Abdul Rahman
5,11,11,2,27,Thaw,Zin,FMHS,DPCS,male,Universiti Tunku Abdul Rahman
55,447,483,12,156,Yak,Sook Fan,FMHS,DPCS,female,Universiti Tunku Abdul Rahman
15,424,477,7,33,Chang,Ying Ping,FSc,DAFS,female,Universiti Tunku Abdul Rahman
8,103,106,4,23,Yassoralipour,Ali,FSc,DAFS,male,Universiti Tunku Abdul Rahman
15,109,151,7,19,Ee,Kah Yaw,FSc,DAFS,male,Universiti Tunku Abdul Rahman
2,5,5,1,5,Heng,Mei Hsuan,FSc,DAFS,female,Universiti Tunku Abdul Rahman
20,442,525,8,37,Lye,Huey Shi,FSc,DAFS,female,Universiti Tunku Abdul Rahman
12,169,200,6,14,Ong,Mei Kying,FSc,DAFS,female,Universiti Tunku Abdul Rahman
5,60,61,3,10,Ooi,Ai Lin,FSc,DAFS,male,Universiti Tunku Abdul Rahman
0,0,0,0,0,Ooi,Aun Chuan,FSc,DAFS,male,Universiti Tunku Abdul Rahman
21,169,189,8,53,Phuah,Eng Tong,FSc,DAFS,male,Universiti Tunku Abdul Rahman
11,28,28,4,105,Sim,Kheng Yuen,FSc,DAFS,male,Universiti Tunku Abdul Rahman
12,72,79,6,22,Tan,Yen Nee,FSc,DAFS,female,Universiti Tunku Abdul Rahman
10,30,38,4,16,Teo,Kah Cheng,FSc,DAFS,female,Universiti Tunku Abdul Rahman
9,109,118,5,9,Teoh,Chaiw Yee,FSc,DAFS,female,Universiti Tunku Abdul Rahman
3,16,19,2,6,Loganathan,Annalechumy,FSc,DAHS,female,Universiti Tunku Abdul Rahman
13,14,16,3,15,Chee,Hui Phing,FSc,DAHS,female,Universiti Tunku Abdul Rahman
17,104,114,5,26,Chew,Choy Hoong,FSc,DAHS,female,Universiti Tunku Abdul Rahman
5,26,26,1,9,Thaigarajah,Kokila,FSc,DAHS,female,Universiti Tunku Abdul Rahman
7,88,109,6,10,Ng,Michelle Yeen Tan,FSc,DAHS,female,Universiti Tunku Abdul Rahman
24,312,391,8,34,Ng,Tony Kock Wai,FSc,DAHS,male,Universiti Tunku Abdul Rahman
6,63,65,3,17,Ng,Wen Jie,FSc,DAHS,male,Universiti Tunku Abdul Rahman
5,69,69,3,13,Arullappan,Sangeetha,FSc,DAHS,female,Universiti Tunku Abdul Rahman
6,8,13,3,9,Djearamane,Sinouvassane,FSc,DAHS,male,Universiti Tunku Abdul Rahman
17,224,229,5,66,Sit,Nam Weng,FSc,DAHS,male,Universiti Tunku Abdul Rahman
8,43,60,5,6,Tan,Chin Xuan,FSc,DAHS,male,Universiti Tunku Abdul Rahman
14,65,67,4,40,Teh,Lai Kuan,FSc,DAHS,female,Universiti Tunku Abdul Rahman
8,82,84,4,13,Choo,Quok Cheong,FSc,DBS,male,Universiti Tunku Abdul Rahman
24,146,181,7,44,Khoo,Gideon,FSc,DBS,male,Universiti Tunku Abdul Rahman
3,3,3,1,4,Kam,Yew Chee,FSc,DBS,male,Universiti Tunku Abdul Rahman
8,126,165,7,9,Kho,Chiew Ling,FSc,DBS,female,Universiti Tunku Abdul Rahman
7,40,40,4,26,Lee,Kok Chang,FSc,DBS,male,Universiti Tunku Abdul Rahman
